,Player,Age,Pos,G,GS,Yds,TD,D,Lng,Fmb,Player_additional,points
342,Dax Milne,22,wr,13,1,1,0,0,1,1,MilnDa00,-1.9
343,C.J. Moore,26,db,17,1,28,0,1,28,0,MoorCJ01,2.8
344,Stanley Morgan Jr.,25,wr,17,1,3,0,0,3,0,MorgSt02,0.3
345,Ryan Nall,26,rb,9,0,4,0,0,4,0,NallRy00,0.4
346,David Njoku,25,TE,16,11,1,0,0,1,0,NjokDa00,0.1
347,Gunner Olszewski,25,wr,16,0,9,0,0,9,3,OlszGu00,-5.1
348,K.J. Osborn,24,wr,17,9,10,0,1,10,0,OsboKJ00,1
349,Devine Ozigbo,25,0,3,0,-3,0,0,0,0,OzigDe01,-0.3
350,Michael Palardy,29,p,17,0,1,0,0,1,0,PalaMi00,0.1
351,Josh Palmer,23,WR,17,5,6,0,0,6,0,PalmJo00,0.6
352,Breshad Perriman,28,wr,6,0,-3,0,0,-3,0,PerrBr02,-0.3
353,Trey Ragas,25,rb,1,0,9,0,1,9,0,RagaTr00,0.9
354,Amari Rodgers,22,wr,16,1,11,0,1,11,2,RodgAm00,-2.9
355,Chester Rogers,27,wr,16,2,9,0,0,9,4,RogeCh02,-7.1
356,John Ross,26,wr,10,1,16,0,1,16,1,RossJo00,-0.4
357,Sterling Shepard,28,WR,7,6,-9,0,0,-9,0,ShepSt00,-0.9
358,Cam Sims,25,wr,14,3,7,0,0,7,0,SimsCa00,0.7
359,Darius Slayton,24,wr,13,5,-13,0,0,-13,1,SlayDa01,-3.3
360,Ito Smith,26,rb,1,0,4,1,1,4,0,SmitIt00,6.4
361,Jeff Smith,24,wr,12,3,-1,0,0,-1,0,SmitJe03,-0.1
362,Shi Smith,23,wr,6,0,-3,0,0,-3,0,SmitSh03,-0.3
363,Tremon Smith,25,db,17,2,7,0,0,7,0,SmitTr04,0.7
364,Kenny Stills,29,wr,13,4,1,0,0,1,0,StilKe00,0.1
365,Adam Thielen,31,WR,13,13,2,0,0,2,1,ThieAd00,-1.8
366,Quez Watkins,23,WR,17,12,3,0,0,3,0,WatkQu00,0.3
367,Derek Watt,29,rb,17,4,1,0,1,1,0,WattDe00,0.1
368,Preston Williams,24,wr,8,3,7,0,0,7,0,WillPr01,0.7
369,Andrew Wingard,25,SS,15,15,4,0,1,4,0,WingAn01,0.4
370,Olamide Zaccheaus,24,WR,17,8,2,0,1,2,0,ZaccOl01,0.2
