,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
93,Elijah Moore,21,wr,11,6,55.80%,538,12.5,5,24,62,3.9,48.9,0,MoorEl00,126.8
94,Quez Watkins,23,WR,17,12,69.40%,647,15.0,1,25,91,2.5,38.1,0,WatkQu00,113.7
95,Javonte Williams,21,rb,17,1,81.10%,316,7.3,3,12,42,2.5,18.6,2,WillJa10,88.6
96,Antonio Brown,33,wr,7,3,67.70%,545,13.0,4,29,62,6.0,77.9,0,BrowAn04,120.5
97,Antonio Gibson,23,RB,16,14,80.80%,294,7.0,3,12,73,2.6,18.4,6,GibsAn00,77.4
98,DeAndre Hopkins,29,WR,10,10,65.60%,572,13.6,8,32,55,4.2,57.2,0,HopkDe00,147.2
99,Joe Mixon*,25,RB,16,16,87.50%,314,7.5,3,11,52,2.6,19.6,2,MixoJo00,87.4
100,David Montgomery,24,RB,13,13,82.40%,301,7.2,0,18,16,3.2,23.2,1,MontDa01,70.1
101,Byron Pringle,28,wr,17,5,70.00%,568,13.5,5,32,40,2.5,33.4,2,PrinBy00,124.8
102,Emmanuel Sanders,34,WR,14,13,58.30%,626,14.9,4,31,41,3.0,44.7,0,SandEm00,128.6
103,Saquon Barkley,24,RB,13,13,71.90%,263,6.4,2,13,54,3.2,20.2,2,BarkSa00,75.3
104,Brandon Bolden,31,rb,17,1,83.70%,405,9.9,2,21,28,2.4,23.8,1,BoldBr00,91.5
105,Adam Humphries,28,WR,17,11,66.10%,383,9.3,0,23,27,2.4,22.5,0,HumpAd00,79.3
106,Devontae Booker,29,rb,16,4,88.90%,268,6.7,1,11,41,2.5,16.8,0,BookDe00,72.8
107,Nyheim Hines,25,rb,17,4,70.20%,310,7.8,1,15,36,2.4,18.2,3,HineNy00,71.0
108,Allen Lazard,26,WR,15,13,66.70%,513,12.8,8,28,42,2.7,34.2,0,LazaAl00,139.3
109,DeVante Parker,28,WR,10,8,54.80%,515,12.9,2,29,42,4.0,51.5,0,ParkDe01,103.5
110,Devin Singletary,24,RB,17,16,80.00%,228,5.7,1,11,19,2.4,13.4,5,SingDe00,58.8
111,Jonathan Taylor*+,22,RB,17,17,78.40%,360,9.0,2,12,76,2.4,21.2,4,TaylJo02,80.0
112,Ray-Ray McCloud,25,wr,16,5,59.10%,277,7.1,0,18,24,2.4,17.3,4,McClRa00,58.7
113,Tony Pollard,24,rb,15,0,84.80%,337,8.6,0,15,32,2.6,22.5,2,PollTo00,68.7
114,Kadarius Toney,22,wr,10,4,68.40%,420,10.8,0,21,38,3.9,42.0,0,ToneKa00,81.0
115,Ameer Abdullah,28,0,17,1,71.70%,289,7.6,1,13,23,2.2,17.0,0,AbduAm00,72.9
116,Austin Hooper,27,TE,16,16,62.30%,345,9.1,3,18,34,2.4,21.6,0,HoopAu00,90.5
117,Jerry Jeudy,22,wr,10,5,67.90%,467,12.3,0,22,40,3.8,46.7,1,JeudJe00,82.7
118,Zach Pascal,27,WR,16,13,55.10%,384,10.1,3,16,41,2.4,24.0,1,PascZa00,92.4
119,Allen Robinson,28,WR,12,11,57.60%,410,10.8,1,22,39,3.2,34.2,0,RobiAl02,85.0
120,Nick Westbrook-Ikhine,24,wr,16,7,66.70%,476,12.5,4,23,46,2.4,29.8,1,WestNi00,107.6
121,Nelson Agholor,28,WR,15,13,57.80%,473,12.8,3,23,44,2.5,31.5,0,AghoNe00,102.3
122,James Conner*,26,rb,15,6,94.90%,375,10.1,3,18,45,2.5,25.0,2,ConnJa00,88.5
123,Kenny Golladay,28,WR,14,14,48.70%,521,14.1,0,27,36,2.6,37.2,0,GollKe00,89.1
124,Christian McCaffrey,25,rb,7,7,90.20%,343,9.3,1,21,32,5.3,49.0,1,McCaCh01,75.3
125,Michael Carter,22,RB,14,11,65.50%,325,9.0,0,16,23,2.6,23.2,1,CartMi03,66.5
126,Deonte Harty,24,wr,13,1,61.00%,570,15.8,3,23,72,2.8,43.8,2,HarrDe07,107.0
127,Tyler Johnson,23,wr,17,3,65.50%,360,10.0,0,14,31,2.1,21.2,0,JohnTy00,72.0
128,David Njoku,25,TE,16,11,67.90%,475,13.2,4,17,71,2.3,29.7,0,NjokDa00,107.5
129,Sterling Shepard,28,WR,7,6,67.90%,366,10.2,1,19,37,5.1,52.3,0,ShepSt00,78.6
130,Dan Arnold,26,0,11,4,67.30%,408,11.7,0,20,28,3.2,37.1,1,ArnoDa00,73.8
131,Gabriel Davis,22,wr,16,4,55.60%,549,15.7,6,29,49,2.2,34.3,0,DaviGa01,125.9
132,Michael Gallup,25,wr,9,8,56.50%,445,12.7,2,23,41,3.9,49.4,0,GallMi00,91.5
133,Dalvin Cook*,26,RB,13,13,69.40%,224,6.6,0,9,24,2.6,17.2,3,CookDa01,50.4
134,Corey Davis,26,WR,9,9,57.60%,492,14.5,4,23,53,3.8,54.7,2,DaviCo03,103.2
135,AJ Dillon,23,rb,17,2,91.90%,313,9.2,2,15,50,2.0,18.4,2,DillAJ00,73.3
136,Bryan Edwards,23,WR,16,12,57.60%,571,16.8,3,26,51,2.1,35.7,1,EdwaBr01,107.1
137,Anthony Firkser,26,fb,15,1,79.10%,291,8.6,2,15,24,2.3,19.4,2,FirkAn00,71.1
138,Devonta Freeman,29,RB,16,8,81.00%,190,5.6,1,9,15,2.1,11.9,0,FreeDe00,59.0
139,Ty Johnson,24,rb,16,3,61.80%,372,10.9,2,20,23,2.1,23.3,2,JohnTy02,79.2
140,Donovan Peoples-Jones,22,WR,14,9,58.60%,597,17.6,3,26,60,2.4,42.6,2,PeopDo00,107.7
141,Durham Smythe,26,TE,17,12,82.90%,357,10.5,0,15,25,2.0,21.0,0,SmytDu00,69.7
142,Nico Collins,22,wr,14,8,55.00%,446,13.5,1,22,32,2.4,31.9,0,CollNi00,83.6
143,Devin Duvernay*+,24,wr,16,7,70.20%,272,8.2,2,14,21,2.1,17.0,1,DuveDe00,70.2
144,Kenneth Gainwell,22,rb,16,1,66.00%,253,7.7,1,14,19,2.1,15.8,2,GainKe00,60.3
145,Albert Okwuegbunam,23,TE,14,6,82.50%,330,10.0,2,15,64,2.4,23.6,1,OkwuAl00,76.0
146,Josh Palmer,23,WR,17,5,67.30%,353,10.7,4,18,36,1.9,20.8,0,PalmJo00,92.3
147,Jalen Reagor,22,WR,17,13,57.90%,299,9.1,2,13,34,1.9,17.6,2,ReagJa00,70.9
148,Laquon Treadwell,26,wr,12,7,64.70%,434,13.2,1,22,41,2.8,36.2,0,TreaLa00,82.4
149,David Johnson,30,rb,13,4,76.20%,225,7.0,1,11,16,2.5,17.3,1,JohnDa08,58.5
150,Alexander Mattison,23,rb,16,4,82.10%,228,7.1,1,10,24,2.0,14.3,1,MattAl01,58.8
151,Tre'Quan Smith,25,WR,11,6,64.00%,377,11.8,3,18,34,2.9,34.3,1,SmitTr03,85.7
152,Jalen Guyton,24,wr,16,2,64.60%,448,14.5,3,21,59,1.9,28.0,1,GuytJa01,91.8
153,Julio Jones,32,WR,10,10,64.60%,434,14.0,1,19,51,3.1,43.4,0,JoneJu02,80.4
154,Calvin Ridley,27,wr,5,5,59.60%,281,9.1,2,16,22,6.2,56.2,0,RidlCa00,71.1
155,James Robinson,23,RB,14,13,67.40%,222,7.2,0,9,26,2.2,15.9,4,RobiJa00,45.2
156,Geoff Swaim,28,TE,16,16,77.50%,210,6.8,3,12,26,1.9,13.1,0,SwaiGe00,70.0
157,Olamide Zaccheaus,24,WR,17,8,58.50%,406,13.1,3,22,49,1.8,23.9,0,ZaccOl01,89.6
158,Cameron Brate,30,te,17,3,52.60%,245,8.2,4,15,18,1.8,14.4,0,BratCa00,78.5
159,Kenyan Drake,27,rb,12,2,75.00%,291,9.7,1,12,31,2.5,24.3,1,DrakKe00,63.1
160,Kyle Juszczyk*,30,FB,17,16,78.90%,296,9.9,1,16,26,1.8,17.4,0,JuszKy00,65.6
161,Foster Moreau,24,te,17,11,68.20%,373,12.4,3,16,44,1.8,21.9,1,MoreFo00,83.3
162,Chester Rogers,27,wr,16,2,69.80%,301,10.0,1,12,39,1.9,18.8,4,RogeCh02,58.1
163,Ricky Seals-Jones,26,te,13,6,61.20%,271,9.0,2,14,39,2.3,20.8,0,SealRi00,69.1
164,Jack Doyle,31,TE,17,14,67.40%,302,10.4,3,18,34,1.7,17.8,0,DoylJa00,77.2
165,Darrell Henderson,24,RB,12,10,72.50%,176,6.1,3,8,25,2.4,14.7,0,HendDa00,64.6
166,Josh Reynolds,26,0,12,5,59.20%,396,13.7,2,21,39,2.4,33.0,0,ReynJo00,80.6
167,Randall Cobb,31,wr,12,3,71.80%,375,13.4,5,21,54,2.3,31.3,1,CobbRa00,93.5
168,Keelan Cole,28,WR,15,11,54.90%,449,16.0,1,20,54,1.9,29.9,0,ColeKe00,78.9
169,Melvin Gordon,28,RB,16,16,73.70%,213,7.6,2,9,30,1.8,13.3,3,GordMe00,55.3
170,Jeremy McNichols,26,rb,14,0,73.70%,240,8.6,1,11,27,2.0,17.1,0,McNiJe00,58.0
171,Jonnu Smith,26,TE,16,11,62.20%,294,10.5,1,15,28,1.8,18.4,1,SmitJo01,61.4
172,Ryan Griffin,31,TE,14,12,64.30%,261,9.7,2,14,29,1.9,18.6,1,GrifRy00,63.1
173,Mark Ingram,32,0,14,10,77.10%,162,6.0,0,9,34,1.9,11.6,1,IngrMa01,41.2
174,Samaje Perine,26,rb,16,0,87.10%,196,7.3,1,9,23,1.7,12.3,0,PeriSa00,52.6
175,Adam Trautman,24,TE,13,10,62.80%,263,9.7,2,13,32,2.1,20.2,1,TrauAd00,63.3
176,Sammy Watkins,28,WR,13,9,55.10%,394,14.6,1,17,49,2.1,30.3,1,WatkSa00,70.4
177,Damiere Byrd,28,wr,17,4,68.40%,329,12.7,1,18,54,1.5,19.4,1,ByrdDa00,62.9
178,Hayden Hurst,28,te,13,5,83.90%,221,8.5,3,11,33,2.0,17.0,3,HursHa00,60.1
179,Kyle Rudolph,32,TE,16,13,66.70%,257,9.9,1,12,60,1.6,16.1,0,RudoKy00,57.7
180,Miles Sanders,24,RB,12,12,76.50%,158,6.1,0,6,25,2.2,13.2,1,SandMi01,39.8
181,Darius Slayton,24,wr,13,5,44.80%,339,13.0,2,14,42,2.0,26.1,1,SlayDa01,69.9
182,Marquez Valdes-Scantling,27,WR,11,7,47.30%,430,16.5,3,18,75,2.4,39.1,0,ValdMa00,87.0
183,Jamaal Williams,26,RB,13,11,92.90%,157,6.0,0,6,15,2.0,12.1,1,WillJa06,39.7
184,Rex Burkhead,31,rb,16,5,78.10%,186,7.4,0,9,20,1.6,11.6,1,BurkRe00,41.6
185,Josiah Deguara,24,te,16,2,75.80%,245,9.8,2,9,62,1.6,15.3,0,DeguJo00,61.5
186,Chuba Hubbard,22,RB,17,10,67.60%,174,7.0,1,8,33,1.5,10.2,1,HubbCh01,46.4
187,Demarcus Robinson,27,WR,17,10,61.00%,264,10.6,3,13,33,1.5,15.5,0,RobiDe01,69.4
188,Tajae Sharpe,27,wr,15,7,67.60%,230,9.2,0,14,17,1.7,15.3,0,SharTa00,48.0
189,Freddie Swain,23,wr,17,8,62.50%,343,13.7,4,12,68,1.5,20.2,1,SwaiFr00,81.3
190,Albert Wilson,29,wr,14,5,64.10%,213,8.5,0,10,64,1.8,15.2,0,WilsAl02,46.3
191,Jamal Agnew,26,db,10,2,61.50%,229,9.5,1,14,29,2.4,22.9,1,AgneJa00,50.9
192,Jordan Akins,29,te,13,3,72.70%,214,8.9,0,11,31,1.8,16.5,2,AkinJo00,41.4
193,Mo Alie-Cox,28,te,17,7,53.30%,316,13.2,4,14,37,1.4,18.6,1,AlieMo00,77.6
194,Danny Amendola,36,wr,8,0,63.20%,248,10.3,3,10,39,3.0,31.0,1,AmenDa00,64.8
195,Tavon Austin,31,wr,13,3,64.90%,213,8.9,1,11,25,1.8,16.4,1,AustTa00,49.3
196,DeAndre Carter,28,wr,17,6,54.50%,296,12.3,3,17,26,1.4,17.4,3,CartDe02,65.6
197,Rashard Higgins,27,wr,15,4,51.10%,275,11.5,1,16,21,1.6,18.3,0,HiggRa00,57.5
198,Jauan Jennings,24,wr,16,1,63.20%,282,11.8,5,15,34,1.5,17.6,1,JennJa00,80.2
199,James O'Shaughnessy,29,TE,7,6,70.60%,244,10.2,0,10,30,3.4,34.9,0,O'ShJa00,48.4
200,Henry Ruggs III,22,wr,7,7,66.70%,469,19.5,2,16,61,3.4,67.0,0,RuggHe00,82.9
201,James Washington,25,wr,15,2,54.50%,285,11.9,2,9,42,1.6,19.0,0,WashJa00,64.5
202,Giovani Bernard,30,rb,12,0,79.30%,123,5.3,3,8,32,1.9,10.3,1,BernGi00,51.3
203,Pharaoh Brown,27,TE,15,12,67.60%,171,7.4,0,6,29,1.5,11.4,1,BrowPh01,38.1
204,Jamycal Hasty,25,rb,11,0,79.30%,157,6.8,0,7,23,2.1,14.3,2,HastJa02,34.7
205,T.Y. Hilton,32,WR,10,9,62.20%,331,14.4,3,15,52,2.3,33.1,0,HiltT.00,74.1
206,Marcedes Lewis,37,TE,17,17,82.10%,214,9.3,0,10,23,1.4,12.6,1,LewiMa00,42.4
207,Zack Moss,24,rb,13,0,71.90%,197,8.6,1,12,24,1.8,15.2,2,MossZa00,44.7
208,Chris Conley,29,WR,16,10,59.50%,323,14.7,2,15,41,1.4,20.2,1,ConlCh00,64.3
209,Kareem Hunt,26,rb,8,1,81.50%,174,7.9,0,10,23,2.8,21.8,0,HuntKa00,39.4
210,Justin Jackson,25,rb,14,2,88.00%,178,8.1,0,8,25,1.6,12.7,1,JackJu01,37.8
211,Harrison Bryant,23,te,16,3,75.00%,233,11.1,3,14,41,1.3,14.6,0,BryaHa00,62.3
212,DeeJay Dallas,23,rb,17,0,91.30%,133,6.3,0,4,29,1.2,7.8,1,DallDe00,32.3
213,Will Dissly,25,TE,15,14,80.80%,231,11.0,1,11,39,1.4,15.4,1,DissWi00,48.1
214,Sony Michel,26,rb,17,7,63.60%,128,6.1,1,6,24,1.2,7.5,1,MichSo00,37.8
215,Chris Moore,28,wr,12,1,95.50%,227,10.8,2,6,67,1.8,18.9,0,MoorCh00,55.7
216,John Bates,24,TE,17,8,80.00%,249,12.5,1,11,32,1.2,14.6,1,BateJo00,48.9
217,Nick Chubb*,26,RB,14,14,80.00%,174,8.7,1,9,40,1.4,12.4,2,ChubNi00,39.4
218,Marquise Goodwin,31,wr,14,2,50.00%,313,15.7,1,12,50,1.4,22.4,1,GoodMa00,55.3
219,DeSean Jackson,35,0,16,4,58.80%,454,22.7,2,12,75,1.3,28.4,1,JackDe00,75.4
220,Brevin Jordan,21,te,9,2,71.40%,178,8.9,3,10,27,2.2,19.8,0,JordBr00,55.8
221,Isaiah McKenzie,26,wr,15,2,76.90%,178,8.9,1,13,28,1.3,11.9,2,McKeIs00,39.8
222,Donald Parham,24,te,14,9,74.10%,190,9.5,3,13,22,1.4,13.6,0,ParhDo00,57.0
223,Tommy Tremble,21,TE,16,11,57.10%,180,9.0,1,10,30,1.3,11.3,0,TremTo00,44.0
224,Clyde Edwards-Helaire,22,RB,10,10,82.60%,129,6.8,2,8,29,1.9,12.9,2,EdwaCl00,39.9
225,Zach Gentry,25,TE,17,12,76.00%,167,8.8,0,11,25,1.1,9.8,0,GentZa00,35.7
226,Dontrell Hilliard,26,rb,8,5,73.10%,87,4.6,0,7,28,2.4,10.9,2,HillDo00,23.7
227,D'Ernest Johnson,25,rb,17,2,76.00%,137,7.2,0,7,18,1.1,8.1,1,JohnDE04,30.7
228,Elijah Mitchell,23,RB,11,10,95.00%,137,7.2,1,6,14,1.7,12.5,0,MitcEl00,38.7
229,Antoine Wesley,24,wr,15,4,59.40%,208,10.9,3,9,33,1.3,13.9,0,WeslAn01,57.8
230,Demetric Felton,23,wr,16,2,85.70%,181,10.1,2,10,33,1.1,11.3,4,FeltDe00,40.1
231,Damien Harris,24,RB,15,15,85.70%,132,7.3,0,4,21,1.2,8.8,2,HarrDa06,27.2
232,Derrick Henry,27,RB,8,8,90.00%,154,8.6,0,7,16,2.3,19.3,1,HenrDe00,31.4
233,Ian Thomas,25,TE,17,13,60.00%,188,10.4,0,6,41,1.1,11.1,0,ThomIa00,36.8
234,Logan Thomas,30,te,6,6,72.00%,196,10.9,3,10,35,3.0,32.7,1,ThomLo00,53.6
235,Robert Tonyan,27,te,8,5,62.10%,204,11.3,2,10,33,2.3,25.5,0,TonyRo00,50.4
236,Brandon Zylstra,28,wr,13,3,72.00%,250,13.9,1,10,55,1.4,19.2,0,ZylsBr00,49.0
237,C.J. Ham,28,FB,17,8,94.40%,125,7.4,0,6,27,1.0,7.4,0,HamxC.00,29.5
238,Terrace Marshall Jr.,21,wr,13,3,56.70%,138,8.1,0,7,23,1.3,10.6,0,MarsTe00,30.8
