,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
416,Jason Cabinda,24,lb,16,2,66.70%,8,4.0,0,1,4,0.1,0.5,0.0,CabiJa00,2.8
417,Lawrence Cager,23,wr,2,1,33.30%,35,17.5,0,2,19,1.0,17.5,0.0,CageLa01,5.5
418,Antonio Callaway,23,wr,5,1,50.00%,20,10.0,0,1,13,0.4,4.0,0.0,CallAn00,4.0
419,Chandler Cox,24,rb,8,3,100.00%,9,4.5,0,1,6,0.3,1.1,0.0,CoxxCh01,2.9
420,Dominique Dafney,23,te,5,2,100.00%,26,13.0,1,2,13,0.4,5.2,0.0,DafnDo00,10.6
421,AJ Dillon,22,rb,11,0,100.00%,21,10.5,0,1,16,0.2,1.9,0.0,DillAJ00,4.1
422,Darrynton Evans,22,rb,5,0,50.00%,27,13.5,1,2,24,0.4,5.4,0.0,EvanDa02,10.7
423,Robert Foster,26,wr,4,2,33.30%,37,18.5,0,2,28,0.5,9.3,0.0,FostRo01,5.7
424,Daurice Fountain,25,wr,5,0,66.70%,23,11.5,0,2,12,0.4,4.6,0.0,FounDa00,4.3
425,Bennie Fowler,29,wr,5,0,33.30%,11,5.5,0,1,7,0.4,2.2,0.0,FowlBe00,3.1
426,Reggie Gilliam,23,fb,14,0,100.00%,16,8.0,1,2,15,0.1,1.1,0.0,GillRe00,9.6
427,Andy Janovich,27,rb,14,3,40.00%,13,6.5,0,1,13,0.1,0.9,0.0,JanoAn00,3.3
428,Lamar Miller,29,rb,1,0,100.00%,6,3.0,0,1,7,2.0,6.0,0.0,MillLa01,2.6
429,Cam Newton,31,QB,15,15,100.00%,35,17.5,1,2,19,0.1,2.3,6.0,NewtCa00,-0.5
430,Colby Parkinson,21,te,6,0,100.00%,16,8.0,0,2,10,0.3,2.7,0.0,ParkCo02,3.6
431,Elijhaa Penny,27,rb,14,0,66.70%,20,10.0,0,1,11,0.1,1.4,0.0,PennEl00,4.0
