,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
52,Tyreek Hill*,25,WR,12,12,65.20%,860,14.8,7,39,57,4.8,71.7,0.0,HillTy00,186.0
53,Terry McLaurin,24,WR,14,14,62.40%,919,15.8,7,43,75,4.1,65.6,0.0,McLaTe00,191.9
54,D.K. Metcalf,22,WR,16,15,58.00%,900,15.5,7,39,54,3.6,56.3,3.0,MetcDK00,184.0
55,Deebo Samuel,23,WR,15,11,70.40%,802,14.1,3,32,42,3.8,53.5,2.0,SamuDe00,151.2
56,Sterling Shepard,26,WR,10,10,68.70%,576,10.1,3,29,36,5.7,57.6,0.0,ShepSt00,132.6
57,Randall Cobb,29,wr,15,6,66.30%,828,15.1,3,41,59,3.7,55.2,2.0,CobbRa00,151.8
58,Hunter Henry,25,TE,12,12,72.40%,652,11.9,5,36,30,4.6,54.3,1.0,HenrHu00,148.2
59,Ezekiel Elliott*,24,RB,16,16,76.10%,420,7.8,2,21,27,3.4,26.3,3.0,ElliEz00,102.0
60,Curtis Samuel,23,WR,16,15,51.40%,627,11.6,6,36,44,3.4,39.2,0.0,SamuCu00,152.7
61,Dalvin Cook*,24,RB,14,14,84.10%,519,9.8,0,26,31,3.8,37.1,4.0,CookDa01,96.9
62,Robbie Anderson,26,WR,16,15,54.20%,779,15.0,5,35,92,3.3,48.7,1.0,AndeRo04,157.9
63,Saquon Barkley,22,RB,13,13,71.20%,438,8.4,2,14,65,4.0,33.7,1.0,BarkSa00,105.8
64,A.J. Brown,22,WR,16,11,61.90%,1051,20.2,8,39,91,3.3,65.7,1.0,BrowAJ00,203.1
65,Anthony Miller,25,WR,16,7,61.20%,656,12.6,2,34,35,3.3,41.0,1.0,MillAn02,127.6
66,Greg Olsen,34,TE,14,14,63.40%,597,11.5,2,34,41,3.7,42.6,0.0,OlseGr00,123.7
67,Sammy Watkins,26,WR,14,13,57.80%,673,12.9,3,30,68,3.7,48.1,2.0,WatkSa00,133.3
68,Mike Gesicki,24,te,16,5,57.30%,570,11.2,5,25,34,3.2,35.6,1.0,GesiMi00,136.0
69,Kenyan Drake,25,0,14,10,73.50%,345,6.9,0,15,26,3.6,24.6,2.0,DrakKe00,80.5
70,Miles Sanders,22,RB,16,11,79.40%,509,10.2,3,19,45,3.1,31.8,2.0,SandMi01,114.9
71,Will Fuller,25,WR,11,11,69.00%,670,13.7,3,26,54,4.5,60.9,1.0,FullWi01,132.0
72,Russell Gage,23,wr,16,4,66.20%,446,9.1,1,25,19,3.1,27.9,1.0,GageRu00,97.6
73,Aaron Jones,25,RB,16,16,72.10%,474,9.7,3,18,67,3.1,29.6,3.0,JoneAa00,108.4
74,Hunter Renfrow,24,wr,13,4,69.00%,605,12.3,4,30,65,3.8,46.5,1.0,RenfHu00,131.5
75,Golden Tate,31,WR,11,10,57.60%,676,13.8,6,30,64,4.5,61.5,1.0,TateGo00,150.6
76,Mike Williams,25,WR,15,15,54.40%,1001,20.4,2,41,56,3.3,66.7,0.0,WillMi07,161.1
77,Darius Slayton,22,WR,14,9,57.10%,740,15.4,8,32,55,3.4,52.9,0.0,SlayDa01,170.0
78,Chris Conley,27,WR,16,14,52.20%,775,16.5,5,36,70,2.9,48.4,0.0,ConlCh00,154.5
79,Jaylen Samuels,23,te,14,4,82.50%,305,6.5,1,19,27,3.4,21.8,1.0,SamuJa00,81.5
80,Marquise Brown,22,wr,14,11,64.80%,584,12.7,7,24,83,3.3,41.7,0.0,BrowMa04,146.4
81,T.Y. Hilton,30,WR,10,10,66.20%,501,11.1,5,24,35,4.5,50.1,0.0,HiltT.00,125.1
82,Evan Engram,25,TE,8,6,64.70%,467,10.6,3,23,75,5.5,58.4,0.0,EngrEv00,108.7
83,Nyheim Hines,23,rb,16,2,75.90%,320,7.3,0,15,21,2.8,20.0,1.0,HineNy00,74.0
84,Duke Johnson,26,rb,16,2,71.00%,410,9.3,3,18,21,2.8,25.6,1.0,JohnDu00,101.0
85,James Washington,23,WR,15,10,55.00%,735,16.7,3,31,79,2.9,49.0,1.0,WashJa00,133.5
86,Jared Cook*,32,te,14,7,66.20%,705,16.4,9,32,61,3.1,50.4,0.0,CookJa02,167.5
87,Corey Davis,24,TE,15,11,62.30%,601,14.0,2,33,38,2.9,40.1,1.0,DaviCo03,113.1
88,Jack Doyle*,29,TE,16,16,59.70%,448,10.4,4,29,23,2.7,28.0,1.0,DoylJa00,109.8
89,Tyler Eifert,29,te,16,4,68.30%,436,10.1,3,24,27,2.7,27.3,0.0,EifeTy00,104.6
90,Alex Erickson,27,wr,16,6,55.10%,529,12.3,0,26,52,2.7,33.1,4.0,EricAl01,87.9
91,Royce Freeman,23,rb,16,0,86.00%,256,6.0,1,10,19,2.7,16.0,0.0,FreeRo00,74.6
92,Alshon Jeffery,29,WR,10,10,58.90%,490,11.4,4,36,38,4.3,49.0,0.0,JeffAl00,116.0
93,Albert Wilson,27,wr,13,4,69.40%,351,8.2,1,22,35,3.3,27.0,0.0,WilsAl02,84.1
94,Brandin Cooks,26,WR,14,14,58.30%,583,13.9,2,32,57,3.0,41.6,0.0,CookBr00,112.3
95,Melvin Gordon,26,RB,12,11,76.40%,296,7.0,1,11,25,3.5,24.7,4.0,GordMe00,69.6
96,JuJu Smith-Schuster,23,WR,12,12,60.00%,552,13.1,3,23,76,3.5,46.0,1.0,SmitJu00,113.2
97,Chris Thompson,29,rb,11,0,72.40%,378,9.0,0,16,39,3.8,34.4,1.0,ThomCh03,77.8
98,Tyrell Williams,27,WR,14,12,65.60%,651,15.5,6,33,46,3.0,46.5,0.0,WillTy00,143.1
99,Jacob Hollister,26,te,11,3,69.50%,349,8.5,3,16,22,3.7,31.7,0.0,HollJa03,93.9
100,Zach Pascal,25,WR,16,13,56.90%,607,14.8,5,29,37,2.6,37.9,0.0,PascZa00,131.7
101,Noah Fant,22,TE,16,11,60.60%,562,14.1,3,23,75,2.5,35.1,1.0,FantNo00,112.2
102,Kenny Stills,27,wr,13,5,72.70%,561,14.0,4,27,45,3.1,43.2,0.0,StilKe00,120.1
103,Auden Tate,22,WR,12,10,50.00%,575,14.4,1,29,33,3.3,47.9,1.0,TateAu00,101.5
104,Nelson Agholor,26,WR,11,10,56.50%,363,9.3,3,17,43,3.5,33.0,2.0,AghoNe00,89.3
105,Kyle Rudolph,30,TE,16,16,81.30%,367,9.4,6,24,32,2.4,22.9,0.0,RudoKy00,111.7
106,Jamaal Williams,24,rb,14,2,86.70%,253,6.5,5,16,17,2.8,18.1,0.0,WillJa06,94.3
107,Jimmy Graham,33,TE,16,10,63.30%,447,11.8,3,23,48,2.4,27.9,1.0,GrahJi00,98.7
108,Vance McDonald,29,TE,14,14,69.10%,273,7.2,3,12,22,2.7,19.5,1.0,McDoVa00,81.3
109,Chris Carson,25,RB,15,15,78.70%,266,7.2,2,10,21,2.5,17.7,7.0,CarsCh00,61.6
110,Gerald Everett,25,te,13,2,61.70%,408,11.0,2,22,33,2.8,31.4,0.0,EverGe00,89.8
111,Adam Humphries,26,wr,12,3,78.70%,374,10.1,2,20,30,3.1,31.2,1.0,HumpAd00,84.4
112,Kareem Hunt,24,rb,8,3,84.10%,285,7.7,1,17,29,4.6,35.6,1.0,HuntKa00,69.5
113,Jordan Akins,27,TE,16,9,65.50%,418,11.6,2,21,53,2.3,26.1,0.0,AkinJo00,89.8
114,Cameron Brate,28,TE,16,6,65.50%,311,8.6,4,21,37,2.3,19.4,0.0,BratCa00,91.1
115,Nick Chubb*,24,RB,16,16,73.50%,278,7.7,0,13,32,2.3,17.4,3.0,ChubNi00,57.8
116,David Johnson,28,rb,13,9,76.60%,370,10.3,4,17,31,2.8,28.5,1.0,JohnDa08,95.0
117,Breshad Perriman,26,wr,14,4,52.20%,645,17.9,6,29,44,2.6,46.1,0.0,PerrBr02,136.5
118,Jalen Richard,26,rb,16,0,83.70%,323,9.0,0,15,33,2.3,20.2,2.0,RichJa01,64.3
119,Irv Smith Jr.,21,te,16,7,76.60%,311,8.6,2,17,29,2.3,19.4,1.0,SmitIr01,77.1
120,Demaryius Thomas,32,WR,11,10,62.10%,433,12.0,1,22,47,3.3,39.4,0.0,ThomDe03,85.3
121,DeAndre Washington,26,rb,16,3,87.80%,292,8.1,0,10,28,2.3,18.3,0.0,WashDe00,65.2
122,Allen Lazard,24,wr,16,3,67.30%,477,13.6,3,24,43,2.2,29.8,0.0,LazaAl00,100.7
123,Phillip Lindsay,25,RB,16,16,72.90%,196,5.6,0,9,36,2.2,12.3,0.0,LindPh00,54.6
124,Joe Mixon,23,RB,16,15,77.80%,287,8.2,3,14,33,2.2,17.9,0.0,MixoJo00,81.7
125,Dare Ogunbowale,25,rb,16,0,76.10%,286,8.2,0,14,21,2.2,17.9,2.0,OgunDa00,59.6
126,Jonnu Smith,24,TE,16,14,79.50%,439,12.5,3,16,57,2.2,27.4,0.0,SmitJo01,96.9
127,Geronimo Allison,25,wr,16,6,61.80%,287,8.4,2,16,31,2.1,17.9,2.0,AlliGe01,70.7
128,James Conner,24,RB,10,10,89.50%,251,7.4,3,14,26,3.4,25.1,1.0,ConnJa00,75.1
129,Darren Fells,33,TE,16,14,70.80%,341,10.0,7,22,24,2.1,21.3,0.0,FellDa01,110.1
130,Ryan Griffin,29,TE,13,13,82.90%,320,9.4,5,19,45,2.6,24.6,0.0,GrifRy00,96.0
131,O.J. Howard,25,TE,14,14,64.20%,459,13.5,1,23,33,2.4,32.8,1.0,HowaO.00,83.9
132,J.D. McKissic,26,wr,16,3,81.00%,233,6.9,1,7,26,2.1,14.6,0.0,McKiJ.00,63.3
133,Latavius Murray,29,rb,16,8,79.10%,235,6.9,1,9,30,2.1,14.7,0.0,MurrLa00,63.5
134,Steven Sims,22,wr,16,2,60.70%,310,9.1,4,18,65,2.1,19.4,1.0,SimsSt00,87.0
135,Damiere Byrd,26,wr,11,3,69.60%,359,11.2,1,16,58,2.9,32.6,1.0,ByrdDa00,71.9
136,T.J. Hockenson,22,te,12,7,54.20%,367,11.5,2,19,39,2.7,30.6,0.0,HockTJ00,80.7
137,Allen Hurns,28,WR,14,7,68.10%,416,13.0,2,18,27,2.3,29.7,1.0,HurnAl01,83.6
138,Demarcus Robinson,25,wr,16,10,58.20%,449,14.0,4,19,44,2.0,28.1,0.0,RobiDe01,100.9
139,Preston Williams,22,WR,8,7,53.30%,428,13.4,3,24,35,4.0,53.5,2.0,WillPr01,88.8
140,Nick Boyle,26,TE,16,15,72.10%,321,10.4,2,13,35,1.9,20.1,0.0,BoylNi00,75.1
141,Eric Ebron,26,te,11,2,59.60%,375,12.1,3,20,48,2.8,34.1,0.0,EbroEr00,86.5
142,Todd Gurley,25,RB,15,15,63.30%,207,6.7,2,8,23,2.1,13.8,3.0,GurlTo01,57.7
143,Blake Jarwin,25,TE,16,7,75.60%,365,11.8,3,17,42,1.9,22.8,1.0,JarwBl00,83.5
144,Olabisi Johnson,22,0,16,6,68.90%,294,9.5,3,17,23,1.9,18.4,0.0,JohnOl00,78.4
145,Ronald Jones II,22,RB,16,9,77.50%,309,10.0,0,12,41,1.9,19.3,3.0,JoneRo01,55.9
146,Kaden Smith,22,te,9,6,73.80%,268,8.6,3,12,32,3.4,29.8,2.0,SmitKa00,71.8
147,Willie Snead,27,WR,16,11,67.40%,339,10.9,5,20,50,1.9,21.2,0.0,SneaWi00,94.9
148,Giovani Bernard,28,rb,16,2,69.80%,234,7.8,0,7,35,1.9,14.6,2.0,BernGi00,49.4
149,Kendrick Bourne,24,wr,16,0,68.20%,358,11.9,5,23,30,1.9,22.4,0.0,BourKe00,95.8
150,Ted Ginn Jr.,34,WR,16,9,53.60%,421,14.0,2,20,45,1.9,26.3,0.0,GinnTe00,84.1
151,Kelvin Harmon,23,WR,16,8,68.20%,365,12.2,0,16,30,1.9,22.8,0.0,HarmKe00,66.5
152,Hayden Hurst,26,te,16,4,76.90%,349,11.6,2,16,61,1.9,21.8,0.0,HursHa00,76.9
153,Adam Thielen,29,WR,10,10,62.50%,418,13.9,6,18,44,3.0,41.8,0.0,ThieAd00,107.8
154,Damien Williams,27,rb,11,6,81.10%,213,7.1,2,10,32,2.7,19.4,1.0,WillDa05,61.3
155,Phillip Dorsett,26,wr,14,4,53.70%,397,13.7,5,17,58,2.1,28.4,0.0,DorsPh00,98.7
156,Taylor Gabriel,28,WR,9,7,60.40%,353,12.2,4,17,53,3.2,39.2,0.0,GabrTa00,88.3
157,Devin Singletary,22,RB,12,8,70.70%,194,6.7,2,5,49,2.4,16.2,4.0,SingDe00,52.4
158,DaeSean Hamilton,24,wr,16,2,53.80%,297,10.6,1,19,28,1.8,18.6,0.0,HamiDa01,63.7
159,Dawson Knox,23,TE,15,11,56.00%,388,13.9,2,15,49,1.9,25.9,0.0,KnoxDa00,78.8
160,LeSean McCoy,31,RB,13,9,82.40%,181,6.5,1,6,23,2.2,13.9,3.0,McCoLe01,46.1
161,Paul Richardson,27,WR,10,6,66.70%,245,8.8,2,13,22,2.8,24.5,0.0,RichPa01,64.5
162,John Ross,24,WR,8,8,50.00%,506,18.1,3,22,66,3.5,63.3,1.0,RossJo00,94.6
163,Greg Ward,24,wr,7,3,70.00%,254,9.1,1,18,38,4.0,36.3,0.0,WardGr02,59.4
164,Jarius Wright,30,WR,16,9,48.30%,296,10.6,0,16,33,1.8,18.5,0.0,WrigJa02,57.6
165,Rex Burkhead,29,rb,13,1,71.10%,279,10.3,0,10,32,2.1,21.5,1.0,BurkRe00,52.9
166,Josh Gordon,28,0,11,7,57.40%,426,15.8,1,16,58,2.5,38.7,0.0,GordJo02,75.6
167,Zay Jones,24,0,15,9,60.00%,216,8.0,0,10,23,1.8,14.4,0.0,JoneZa00,48.6
168,Isaiah McKenzie,24,WR,15,8,69.20%,254,9.4,1,12,46,1.8,16.9,0.0,McKeIs00,58.4
169,C.J. Uzomah,26,TE,16,16,67.50%,242,9.0,2,12,36,1.7,15.1,0.0,UzomC.00,63.2
170,Mecole Hardman*,21,wr,16,5,63.40%,538,20.7,6,18,83,1.6,33.6,2.0,HardMe00,111.8
171,Mark Ingram*,30,RB,15,15,89.70%,247,9.5,5,16,25,1.7,16.5,2.0,IngrMa01,76.7
172,Jakobi Meyers,23,wr,15,1,63.40%,359,13.8,0,17,35,1.7,23.9,0.0,MeyeJa01,61.9
173,Trey Quinn,24,wr,12,6,55.30%,198,7.6,1,10,19,2.2,16.5,1.0,QuinTr00,49.8
174,Jeremy Sprinkle,25,TE,16,13,65.00%,241,9.3,1,13,23,1.6,15.1,1.0,SpriJe00,54.1
175,Marquez Valdes-Scantling,25,WR,16,10,46.40%,452,17.4,2,14,74,1.6,28.3,0.0,ValdMa00,83.2
176,Pharoh Cooper,24,0,13,1,75.80%,243,9.7,1,10,28,1.9,18.7,0.0,CoopPh00,55.3
177,Josh Hill,29,TE,16,11,71.40%,226,9.0,3,13,29,1.6,14.1,0.0,HillJo02,65.6
178,Dion Lewis,29,rb,16,1,78.10%,164,6.6,1,7,24,1.6,10.3,1.0,LewiDi00,45.4
179,David Montgomery,22,rb,16,8,71.40%,185,7.4,1,7,30,1.6,11.6,2.0,MontDa01,45.5
180,Tajae Sharpe,25,WR,15,6,71.40%,329,13.2,4,20,47,1.7,21.9,0.0,SharTa00,81.9
181,Keelan Cole,26,wr,16,1,68.60%,361,15.0,3,19,55,1.5,22.6,0.0,ColeKe00,78.1
182,Ty Johnson,22,rb,16,1,77.40%,109,4.5,0,4,13,1.5,6.8,1.0,JohnTy02,32.9
183,Cody Latimer,27,wr,15,10,57.10%,300,12.5,2,19,43,1.6,20.0,0.0,LatiCo00,66.0
184,Boston Scott,24,rb,11,2,92.30%,204,8.5,0,10,39,2.2,18.5,4.0,ScotBo02,36.4
185,Will Dissly,23,TE,6,6,85.20%,262,11.4,4,14,38,3.8,43.7,1.0,DissWi00,71.2
186,Isaiah Ford,23,wr,8,0,65.70%,244,10.6,0,16,28,2.9,30.5,0.0,FordIs00,47.4
187,Bennie Fowler,28,wr,8,2,63.90%,193,8.4,0,12,17,2.9,24.1,0.0,FowlBe00,42.3
188,Patrick Laird,24,rb,15,4,76.70%,204,8.9,0,13,21,1.5,13.6,0.0,LairPa00,43.4
189,Keke Coutee,22,wr,9,4,61.10%,254,11.5,0,10,51,2.4,28.2,1.0,CoutKe00,45.4
190,Tevin Coleman,26,RB,14,11,70.00%,180,8.6,1,9,37,1.5,12.9,0.0,ColeTe01,45.0
191,KeeSean Johnson,23,wr,10,4,50.00%,187,8.9,1,10,31,2.1,18.7,1.0,JohnKe07,43.7
192,Foster Moreau,22,TE,13,7,84.00%,174,8.3,5,14,23,1.6,13.4,0.0,MoreFo00,68.4
193,Josh Reynolds,24,wr,16,2,48.80%,326,15.5,1,15,31,1.3,20.4,0.0,ReynJo00,59.6
194,Seth Roberts,28,wr,16,0,60.00%,271,12.9,2,18,33,1.3,16.9,0.0,RobeSe00,60.1
195,Delanie Walker,35,te,7,4,67.70%,215,10.2,2,11,29,3.0,30.7,1.0,WalkHu00,52.5
196,Josh Jacobs,21,RB,13,13,74.10%,166,8.3,0,8,28,1.5,12.8,1.0,JacoJo01,34.6
197,Kyle Juszczyk*,28,FB,12,12,83.30%,239,12.0,1,11,49,1.7,19.9,0.0,JuszKy00,49.9
198,Matt Breida,24,rb,13,5,86.40%,120,6.3,1,6,17,1.5,9.2,2.0,BreiMa00,33.0
199,Jakeem Grant,27,wr,10,2,57.60%,164,8.6,0,9,18,1.9,16.4,2.0,GranJa00,31.4
200,Justin Hardy,28,wr,16,1,73.10%,195,10.3,0,9,23,1.2,12.2,0.0,HardJu00,38.5
201,Taysom Hill,29,wr,16,5,86.40%,234,12.3,6,14,45,1.2,14.6,0.0,HillTa00,78.4
202,Parris Campbell,22,wr,7,3,75.00%,127,7.1,1,6,27,2.6,18.1,3.0,CampPa00,30.7
203,Charles Clay,30,TE,15,10,75.00%,237,13.2,1,12,47,1.2,15.8,0.0,ClayCh00,47.7
204,Rhett Ellison,31,fb,10,7,64.30%,167,9.3,1,4,31,1.8,16.7,0.0,ElliRh00,40.7
205,Derrick Henry *,25,RB,15,15,75.00%,206,11.4,2,4,75,1.2,13.7,5.0,HenrDe00,40.6
206,Tre'Quan Smith,23,WR,11,6,72.00%,234,13.0,5,17,32,1.6,21.3,0.0,SmitTr03,71.4
207,Javon Wims,25,wr,16,6,46.20%,186,10.3,1,9,37,1.1,11.6,0.0,WimsJa00,42.6
208,C.J. Ham*,26,FB,16,7,65.40%,149,8.8,1,6,36,1.1,9.3,1.0,HamxC.00,35.9
209,Marcus Johnson,25,WR,8,6,51.50%,277,16.3,2,12,50,2.1,34.6,0.0,JohnMa07,56.7
210,David Moore,24,wr,14,1,50.00%,301,17.7,2,14,60,1.2,21.5,2.0,MoorDa03,55.1
211,Adrian Peterson,34,RB,15,15,73.90%,142,8.4,0,7,22,1.1,9.5,3.0,PeteAd01,25.2
212,Vyncint Smith,23,wr,13,4,54.80%,225,13.2,0,11,37,1.3,17.3,1.0,SmitVy00,37.5
213,Nick Vannett,26,0,16,7,77.30%,166,9.8,0,5,18,1.1,10.4,0.0,VannNi00,33.6
214,Ben Watson,39,te,10,8,70.80%,173,10.2,0,9,26,1.7,17.3,0.0,WatsBe00,34.3
215,Peyton Barber,25,rb,16,7,66.70%,115,7.2,1,4,16,1.0,7.2,1.0,BarbPe01,31.5
216,Jaron Brown,29,WR,14,4,57.10%,220,13.8,2,10,48,1.1,15.7,1.0,BrowJa03,48.0
217,Jesse James,25,TE,16,11,59.30%,142,8.9,0,8,23,1.0,8.9,0.0,JameJe00,30.2
218,Tim Patrick,26,wr,8,2,51.60%,218,13.6,0,14,38,2.0,27.3,0.0,PatrTi00,37.8
219,Chester Rogers,25,wr,12,6,57.10%,179,11.2,2,11,27,1.3,14.9,2.0,RogeCh02,41.9
220,Ian Thomas,23,te,16,3,53.30%,136,8.5,1,10,19,1.0,8.5,0.0,ThomIa00,35.6
221,Logan Thomas,28,qb,16,3,57.10%,173,10.8,1,10,17,1.0,10.8,0.0,ThomLo00,39.3
222,Ameer Abdullah,26,rb,16,0,71.40%,88,5.9,1,5,16,0.9,5.5,1.0,AbduAm00,27.8
223,Ross Dwelley,24,te,16,6,68.20%,91,6.1,2,8,25,0.9,5.7,0.0,DwelRo00,36.1
224,Demetrius Harris,28,TE,15,6,55.60%,149,9.9,3,10,23,1.0,9.9,0.0,HarrDe03,47.9
225,Marcedes Lewis,35,TE,16,11,78.90%,156,10.4,1,8,25,0.9,9.8,0.0,LewiMa00,36.6
226,Tony Pollard,22,rb,15,0,75.00%,107,7.1,1,4,21,1.0,7.1,1.0,PollTo00,29.7
227,Malik Turner,23,wr,15,3,68.20%,245,16.3,1,10,33,1.0,16.3,0.0,TurnMa00,45.5
228,Mark Walton,22,rb,7,4,71.40%,89,5.9,0,3,18,2.1,12.7,1.0,WaltMa00,21.9
229,Justin Watson,23,wr,16,2,57.70%,159,10.6,2,10,17,0.9,9.9,0.0,WatsJu01,42.9
230,Darrel Williams,24,rb,12,0,78.90%,167,11.1,1,7,52,1.3,13.9,1.0,WillDa10,35.7
231,Maxx Williams,25,TE,16,10,78.90%,202,13.5,1,11,28,0.9,12.6,0.0,WillMa04,41.2
232,Ryquell Armstead,23,rb,16,1,58.30%,144,10.3,2,9,31,0.9,9.0,0.0,ArmsRy00,40.4
