Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,points
59,Hunter Henry,LAC,25,TE,12,12,76,55,72.40%,652,11.9,5,36,30,8.6,4.6,54.3,1,HenrHu00,148.2
60,Ezekiel Elliott*,DAL,24,RB,16,16,71,54,76.10%,420,7.8,2,21,27,5.9,3.4,26.3,3,ElliEz00,102
61,Curtis Samuel,CAR,23,WR,16,15,105,54,51.40%,627,11.6,6,36,44,6,3.4,39.2,0,SamuCu00,152.7
62,Dalvin Cook*,MIN,24,RB,14,14,63,53,84.10%,519,9.8,0,26,31,8.2,3.8,37.1,4,CookDa01,96.9
63,Robbie Anderson,NYJ,26,WR,16,15,96,52,54.20%,779,15,5,35,92,8.1,3.3,48.7,1,AndeRo04,157.9
64,Saquon Barkley,NYG,22,RB,13,13,73,52,71.20%,438,8.4,2,14,65,6,4,33.7,1,BarkSa00,105.8
65,A.J. Brown,TEN,22,WR,16,11,84,52,61.90%,1051,20.2,8,39,91,12.5,3.3,65.7,1,BrowAJ00,203.1
66,Anthony Miller,CHI,25,WR,16,7,85,52,61.20%,656,12.6,2,34,35,7.7,3.3,41,1,MillAn02,127.6
67,Greg Olsen,CAR,34,TE,14,14,82,52,63.40%,597,11.5,2,34,41,7.3,3.7,42.6,0,OlseGr00,123.7
68,Sammy Watkins,KAN,26,WR,14,13,90,52,57.80%,673,12.9,3,30,68,7.5,3.7,48.1,2,WatkSa00,133.3
69,Mike Gesicki,MIA,24,te,16,5,89,51,57.30%,570,11.2,5,25,34,6.4,3.2,35.6,1,GesiMi00,136
70,Kenyan Drake,2TM,25,,14,10,68,50,73.50%,345,6.9,0,15,26,5.1,3.6,24.6,2,DrakKe00,80.5
71,Miles Sanders,PHI,22,RB,16,11,63,50,79.40%,509,10.2,3,19,45,8.1,3.1,31.8,2,SandMi01,114.9
72,Will Fuller,HOU,25,WR,11,11,71,49,69.00%,670,13.7,3,26,54,9.4,4.5,60.9,1,FullWi01,132
73,Russell Gage,ATL,23,wr,16,4,74,49,66.20%,446,9.1,1,25,19,6,3.1,27.9,1,GageRu00,97.6
74,Aaron Jones,GNB,25,RB,16,16,68,49,72.10%,474,9.7,3,18,67,7,3.1,29.6,3,JoneAa00,108.4
75,Hunter Renfrow,OAK,24,wr,13,4,71,49,69.00%,605,12.3,4,30,65,8.5,3.8,46.5,1,RenfHu00,131.5
76,Golden Tate,NYG,31,WR,11,10,85,49,57.60%,676,13.8,6,30,64,8,4.5,61.5,1,TateGo00,150.6
77,Mike Williams,LAC,25,WR,15,15,90,49,54.40%,1001,20.4,2,41,56,11.1,3.3,66.7,0,WillMi07,161.1
78,Darius Slayton,NYG,22,WR,14,9,84,48,57.10%,740,15.4,8,32,55,8.8,3.4,52.9,0,SlayDa01,170
79,Chris Conley,JAX,27,WR,16,14,90,47,52.20%,775,16.5,5,36,70,8.6,2.9,48.4,0,ConlCh00,154.5
80,Jaylen Samuels,PIT,23,te,14,4,57,47,82.50%,305,6.5,1,19,27,5.4,3.4,21.8,1,SamuJa00,81.5
81,Marquise Brown,BAL,22,wr,14,11,71,46,64.80%,584,12.7,7,24,83,8.2,3.3,41.7,0,BrowMa04,146.4
82,T.Y. Hilton,IND,30,WR,10,10,68,45,66.20%,501,11.1,5,24,35,7.4,4.5,50.1,0,HiltT.00,125.1
83,Evan Engram,NYG,25,TE,8,6,68,44,64.70%,467,10.6,3,23,75,6.9,5.5,58.4,0,EngrEv00,108.7
84,Nyheim Hines,IND,23,rb,16,2,58,44,75.90%,320,7.3,0,15,21,5.5,2.8,20,1,HineNy00,74
85,Duke Johnson,HOU,26,rb,16,2,62,44,71.00%,410,9.3,3,18,21,6.6,2.8,25.6,1,JohnDu00,101
86,James Washington,PIT,23,WR,15,10,80,44,55.00%,735,16.7,3,31,79,9.2,2.9,49,1,WashJa00,133.5
87,Jared Cook*,NOR,32,te,14,7,65,43,66.20%,705,16.4,9,32,61,10.8,3.1,50.4,0,CookJa02,167.5
88,Corey Davis,TEN,24,TE,15,11,69,43,62.30%,601,14,2,33,38,8.7,2.9,40.1,1,DaviCo03,113.1
89,Jack Doyle*,IND,29,TE,16,16,72,43,59.70%,448,10.4,4,29,23,6.2,2.7,28,1,DoylJa00,109.8
90,Tyler Eifert,CIN,29,te,16,4,63,43,68.30%,436,10.1,3,24,27,6.9,2.7,27.3,0,EifeTy00,104.6
91,Alex Erickson,CIN,27,wr,16,6,78,43,55.10%,529,12.3,0,26,52,6.8,2.7,33.1,4,EricAl01,87.9
92,Royce Freeman,DEN,23,rb,16,0,50,43,86.00%,256,6,1,10,19,5.1,2.7,16,0,FreeRo00,74.6
93,Alshon Jeffery,PHI,29,WR,10,10,73,43,58.90%,490,11.4,4,36,38,6.7,4.3,49,0,JeffAl00,116
94,Albert Wilson,MIA,27,wr,13,4,62,43,69.40%,351,8.2,1,22,35,5.7,3.3,27,0,WilsAl02,84.1
95,Brandin Cooks,LAR,26,WR,14,14,72,42,58.30%,583,13.9,2,32,57,8.1,3,41.6,0,CookBr00,112.3
96,Melvin Gordon,LAC,26,RB,12,11,55,42,76.40%,296,7,1,11,25,5.4,3.5,24.7,4,GordMe00,69.6
97,JuJu Smith-Schuster,PIT,23,WR,12,12,70,42,60.00%,552,13.1,3,23,76,7.9,3.5,46,1,SmitJu00,113.2
98,Chris Thompson,WAS,29,rb,11,0,58,42,72.40%,378,9,0,16,39,6.5,3.8,34.4,1,ThomCh03,77.8
99,Tyrell Williams,OAK,27,WR,14,12,64,42,65.60%,651,15.5,6,33,46,10.2,3,46.5,0,WillTy00,143.1
100,Jacob Hollister,SEA,26,te,11,3,59,41,69.50%,349,8.5,3,16,22,5.9,3.7,31.7,0,HollJa03,93.9
